municipio_id;municipio_nombre;departamento;codigo_departamento;zona_geografica;es_capital_departamental;poblacion_depto_estimada
MUN-001;La Paz;La Paz;LP;Altiplano;TRUE;2926996
MUN-002;El Alto;La Paz;LP;Altiplano;FALSE;2926996
MUN-003;Viacha;La Paz;LP;Altiplano;FALSE;2926996
MUN-004;Achacachi;La Paz;LP;Altiplano;FALSE;2926996
MUN-005;Copacabana;La Paz;LP;Altiplano;FALSE;2926996
MUN-006;Caranavi;La Paz;LP;Altiplano;FALSE;2926996
MUN-007;Coroico;La Paz;LP;Altiplano;FALSE;2926996
MUN-008;Patacamaya;La Paz;LP;Altiplano;FALSE;2926996
MUN-009;Pucarani;La Paz;LP;Altiplano;FALSE;2926996
MUN-010;Sorata;La Paz;LP;Altiplano;FALSE;2926996
MUN-011;Mecapaca;La Paz;LP;Altiplano;FALSE;2926996
MUN-012;Palca;La Paz;LP;Altiplano;FALSE;2926996
MUN-013;Sapahaqui;La Paz;LP;Altiplano;FALSE;2926996
MUN-014;Guanay;La Paz;LP;Altiplano;FALSE;2926996
MUN-015;Tipuani;La Paz;LP;Altiplano;FALSE;2926996
MUN-016;Santa Cruz de la Sierra;Santa Cruz;SC;Llano;TRUE;3370059
MUN-017;Montero;Santa Cruz;SC;Llano;FALSE;3370059
MUN-018;Warnes;Santa Cruz;SC;Llano;FALSE;3370059
MUN-019;Cotoca;Santa Cruz;SC;Llano;FALSE;3370059
MUN-020;La Guardia;Santa Cruz;SC;Llano;FALSE;3370059
MUN-021;Camiri;Santa Cruz;SC;Llano;FALSE;3370059
MUN-022;Puerto Suarez;Santa Cruz;SC;Llano;FALSE;3370059
MUN-023;San Ignacio de Velasco;Santa Cruz;SC;Llano;FALSE;3370059
MUN-024;Portachuelo;Santa Cruz;SC;Llano;FALSE;3370059
MUN-025;Yapacaní;Santa Cruz;SC;Llano;FALSE;3370059
MUN-026;Mineros;Santa Cruz;SC;Llano;FALSE;3370059
MUN-027;San Julián;Santa Cruz;SC;Llano;FALSE;3370059
MUN-028;Concepción;Santa Cruz;SC;Llano;FALSE;3370059
MUN-029;Roboré;Santa Cruz;SC;Llano;FALSE;3370059
MUN-030;Vallegrande;Santa Cruz;SC;Llano;FALSE;3370059
MUN-031;Cochabamba;Cochabamba;CB;Valle;TRUE;2028639
MUN-032;Quillacollo;Cochabamba;CB;Valle;FALSE;2028639
MUN-033;Sacaba;Cochabamba;CB;Valle;FALSE;2028639
MUN-034;Tiquipaya;Cochabamba;CB;Valle;FALSE;2028639
MUN-035;Colcapirhua;Cochabamba;CB;Valle;FALSE;2028639
MUN-036;Punata;Cochabamba;CB;Valle;FALSE;2028639
MUN-037;Cliza;Cochabamba;CB;Valle;FALSE;2028639
MUN-038;Arani;Cochabamba;CB;Valle;FALSE;2028639
MUN-039;Vinto;Cochabamba;CB;Valle;FALSE;2028639
MUN-040;Sipe Sipe;Cochabamba;CB;Valle;FALSE;2028639
MUN-041;Chapare (Villa Tunari);Cochabamba;CB;Valle;FALSE;2028639
MUN-042;Chimoré;Cochabamba;CB;Valle;FALSE;2028639
MUN-043;Ivirgarzama;Cochabamba;CB;Valle;FALSE;2028639
MUN-044;Tarata;Cochabamba;CB;Valle;FALSE;2028639
MUN-045;Mizque;Cochabamba;CB;Valle;FALSE;2028639
