establecimiento_id;nombre_establecimiento;tipo_establecimiento;nivel_atencion;zona;sedes;red_salud;departamento;municipio;latitud;longitud;tiene_cadena_frio;activo
EST-LP-0001;Micro Hospital Villa Adela;Centro de Salud;1;Urbana;SEDES La Paz;Red de Salud La Paz Urbana Norte;La Paz;La Paz;-16.052.494;-6.799.504;TRUE;TRUE
EST-LP-0002;Micro Hospital Villa Fátima;Centro de Salud;1;Periurbana;SEDES La Paz;Red de Salud La Paz Urbana Sur;La Paz;El Alto;-16.167.084;-68.917.065;FALSE;TRUE
EST-LP-0003;Centro Materno Infantil San Antonio;Centro de Salud;1;Urbana;SEDES La Paz;Red de Salud El Alto Norte;La Paz;Viacha;-16.813.212;-6.811.039;TRUE;TRUE
EST-LP-0004;Posta Sanitaria Villa Victoria;Posta de Salud;1;Rural;SEDES La Paz;Red de Salud El Alto Sur;La Paz;Achacachi;-15.741.991;-68.577.566;TRUE;TRUE
EST-LP-0005;Centro Materno Infantil Miraflores;Centro de Salud;1;Urbana;SEDES La Paz;Red de Salud Los Andes (Pucarani);La Paz;Copacabana;-17.225.679;-67.977.928;TRUE;TRUE
EST-LP-0006;Posta Sanitaria Sopocachi;Posta de Salud;1;Periurbana;SEDES La Paz;Red de Salud Nor Yungas (Coroico);La Paz;Caranavi;-16.812.618;-68.793.725;TRUE;TRUE
EST-LP-0007;Hospital Germán Busch Obrajes;Hospital de 2do Nivel;2;Urbana;SEDES La Paz;Red de Salud Caranavi;La Paz;Coroico;-17.244.978;-67.495.087;TRUE;TRUE
EST-LP-0008;Centro Ambulatorio Calacoto;Centro de Salud;1;Urbana;SEDES La Paz;Red de Salud Ingavi (Viacha);La Paz;Patacamaya;-16.391.679;-68.899.899;TRUE;TRUE
EST-LP-0009;Centro Materno Infantil Chasquipampa;Centro de Salud;1;Urbana;SEDES La Paz;Red de Salud La Paz Urbana Norte;La Paz;Pucarani;-15.825.001;-68.808.412;TRUE;TRUE
EST-LP-0010;Micro Hospital Irpavi;Centro de Salud;1;Urbana;SEDES La Paz;Red de Salud La Paz Urbana Sur;La Paz;Sorata;-1.597.402;-68.379.195;TRUE;TRUE
EST-LP-0011;Hospital Municipal Achumani;Hospital de 2do Nivel;2;Urbana;SEDES La Paz;Red de Salud El Alto Norte;La Paz;Mecapaca;-17.274.982;-68.272.558;TRUE;TRUE
EST-LP-0012;Hospital de la Mujer Cota Cota;Hospital de 3er Nivel;3;Urbana;SEDES La Paz;Red de Salud El Alto Sur;La Paz;Palca;-16.169.028;-67.783.589;TRUE;TRUE
EST-LP-0013;Centro de Salud Mallasa;Centro de Salud;1;Periurbana;SEDES La Paz;Red de Salud Los Andes (Pucarani);La Paz;Sapahaqui;-15.939.938;-68.230.879;TRUE;TRUE
EST-LP-0014;Posta de Salud Kupini;Posta de Salud;1;Rural;SEDES La Paz;Red de Salud Nor Yungas (Coroico);La Paz;Guanay;-16.279.908;-6.753.046;TRUE;TRUE
EST-LP-0015;Posta de Salud Santiago de Lacaya;Posta de Salud;1;Rural;SEDES La Paz;Red de Salud Caranavi;La Paz;Tipuani;-16.922.424;-68.540.291;TRUE;TRUE
EST-LP-0016;Hospital Integral Senkata;Hospital de 2do Nivel;2;Urbana;SEDES La Paz;Red de Salud Ingavi (Viacha);La Paz;La Paz;-17.249.713;-67.931.743;TRUE;TRUE
EST-LP-0017;Puesto de Salud Río Seco;Posta de Salud;1;Rural;SEDES La Paz;Red de Salud La Paz Urbana Norte;La Paz;El Alto;-16.436.254;-68.625.102;FALSE;TRUE
EST-LP-0018;Posta Sanitaria Ciudad Satélite;Posta de Salud;1;Rural;SEDES La Paz;Red de Salud La Paz Urbana Sur;La Paz;Viacha;-16.826.986;-68.781.209;TRUE;TRUE
EST-LP-0019;Centro Ambulatorio Villa Dolores;Centro de Salud;1;Urbana;SEDES La Paz;Red de Salud El Alto Norte;La Paz;Achacachi;-16.008.096;-67.516.254;TRUE;TRUE
EST-LP-0020;Centro Ambulatorio Plan 3000;Centro de Salud;1;Urbana;SEDES La Paz;Red de Salud El Alto Sur;La Paz;Copacabana;-1.673.589;-6.846.235;TRUE;TRUE
EST-LP-0021;Centro de Salud Pampa de la Isla;Centro de Salud;1;Urbana;SEDES La Paz;Red de Salud Los Andes (Pucarani);La Paz;Caranavi;-16.759.816;-67.441.344;TRUE;TRUE
EST-LP-0022;Posta de Salud Los Lotes;Posta de Salud;1;Rural;SEDES La Paz;Red de Salud Nor Yungas (Coroico);La Paz;Coroico;-16.893.735;-68.554.998;FALSE;TRUE
EST-LP-0023;Hospital Germán Busch La Ramada;Hospital de 2do Nivel;2;Urbana;SEDES La Paz;Red de Salud Caranavi;La Paz;Patacamaya;-17.240.981;-67.974.697;TRUE;TRUE
EST-LP-0024;Centro de Salud Equipetrol;Centro de Salud;1;Periurbana;SEDES La Paz;Red de Salud Ingavi (Viacha);La Paz;Pucarani;-16.210.871;-68.100.505;TRUE;TRUE
EST-LP-0025;Policlínico Urbarí;Centro de Salud;1;Urbana;SEDES La Paz;Red de Salud La Paz Urbana Norte;La Paz;Sorata;-16.912.544;-67.664.976;TRUE;FALSE
EST-LP-0026;Centro de Salud Las Palmas;Centro de Salud;1;Urbana;SEDES La Paz;Red de Salud La Paz Urbana Sur;La Paz;Mecapaca;-16.486.882;-678.367;FALSE;TRUE
EST-LP-0027;Centro Integral de Salud Hamacas;Centro de Salud;1;Urbana;SEDES La Paz;Red de Salud El Alto Norte;La Paz;Palca;-16.937.607;-67.917.724;TRUE;TRUE
EST-LP-0028;Centro Integral de Salud Colquiri;Centro de Salud;1;Periurbana;SEDES La Paz;Red de Salud El Alto Sur;La Paz;Sapahaqui;-16.218.896;-67.773.654;TRUE;TRUE
EST-LP-0029;Puesto de Salud Tiquipaya Norte;Posta de Salud;1;Rural;SEDES La Paz;Red de Salud Los Andes (Pucarani);La Paz;Guanay;-15.992.444;-68.061.679;TRUE;TRUE
